"","BasoE.Infected.12","BasoE.Infected.22","BasoE.Infected.31","BasoE.Infected.32"
"PF3D7_1139300",1289.73475148684,1999.63437836423,1396.24356327008,978.698456126637
"PF3D7_1107300",2535.78493881041,1999.63437836423,2097.89715830294,2327.92651944499
"PF3D7_1130400",441.006076314853,124.13080226866,141.272535912656,276.72464334571
"PF3D7_1144600",47.8449988454794,67.7077103283598,160.108874034343,70.3537228845026
"PF3D7_1124900",1454.07192143435,3134.86698820306,1586.96148675217,1960.52374438147
"PF3D7_1144000",636.546506378986,1090.09413628659,550.962890059358,573.773695524722
"PF3D7_1104000",91.5295630087432,117.360031235824,178.945212156031,112.565956615204
"PF3D7_1100100",60.3263028921262,33.8538551641799,84.7635215475935,43.7756497948016
"PF3D7_1123900",374.439121399404,492.009361719415,482.681164368241,622.239593511823
"PF3D7_1134800",95.6899976909587,221.178520405975,169.527043095187,534.68829392222
"PF3D7_1142100",1169.08214570258,986.275647116441,1940.14282653381,1571.23314442056
"PF3D7_1139800",158.096517924193,223.435444083587,350.826797516429,322.063709204612
"PF3D7_1102700",3374.11252727685,4786.93512021504,3407.02265776022,3319.13230408442
"PF3D7_1107700",272.508471685122,476.210895976131,374.372220168538,182.919679499707
"PF3D7_1129400",230.904124862966,286.629307056723,216.617888399406,347.078366230213
"PF3D7_1123100",913.215412746324,778.638668776138,1132.53482956646,822.356849716631
"PF3D7_1103800",172.658039311947,160.241581110452,72.9908102215389,153.214774281806
"PF3D7_1106800",70.7273895976652,92.5338707820918,35.318133978164,23.4512409615009
"PF3D7_1128100",39.5241294810482,81.2492523940318,103.599859669281,287.668555794411
"PF3D7_1119800",24.9626080932936,40.6246261970159,35.318133978164,18.7609927692007
"PF3D7_1115800",328.674339895032,205.380054662691,364.954051107694,559.702950947821
"PF3D7_1130200",1687.05626363842,1555.02041387466,1591.67057128259,3006.44909126441
"PF3D7_1149000",840.407805807551,496.523209074639,642.790038402584,847.371506742232
"PF3D7_1117300",116.492171102037,42.8815498746279,63.5726411606952,106.312292358804
"PF3D7_1134700",730.156286728837,780.89559245375,388.499473759804,437.756497948016
"PF3D7_1143900",66.5669549154496,99.3046418149277,51.7999298346405,67.2268907563025
"PF3D7_1119300",303.711731801739,336.281627964187,143.627078177867,140.707445769005
"PF3D7_1145400",463.888467067039,232.463138794035,621.599158015686,655.071330857925
"PF3D7_1130100",449.326945679285,733.500195223898,445.008488124866,362.712526871214
"PF3D7_1109100",52.005433527695,65.4507866507478,30.6090494477421,87.5512995896033
"PF3D7_1109900",1672.49474225067,1290.96034359406,1071.31673067097,752.003126832128
"PF3D7_1123000",792.562806962071,668.04940857315,701.653595032858,958.374047293336
"PF3D7_1124100",253.786515615151,512.321674817923,360.244966577273,272.03439515341
"PF3D7_1126000",728.07606938773,492.009361719415,456.781199450921,320.500293140512
"PF3D7_1030000",62.406520233234,42.8815498746279,124.790740056179,23.4512409615009
"PF3D7_1027900",31.203260116617,51.9092445850759,28.2545071825312,29.7049052179011
"PF3D7_1023200",37.4439121399404,78.9923287164198,84.7635215475935,451.827242524917
"PF3D7_1007900",961.060411591803,776.381745098526,1021.87134310154,1175.68888020324
"PF3D7_1027300",611.583898285693,1035.92796802391,376.726762433749,625.366425640024
"PF3D7_1020600",68.6471722565574,97.0477181373158,91.8271483432263,17.1975767051006
"PF3D7_1006700",185.139343358594,525.863216883595,357.890424312062,282.978307602111
"PF3D7_1003800",478.449988454794,467.183201265683,579.217397241889,944.303302716435
"PF3D7_1033700",230.904124862966,399.475490937323,254.290564642781,201.680672268908
"PF3D7_1024800",5872.45355394732,5597.17072047775,5874.58295170127,6761.77447723275
"PF3D7_1010200",626.145419673447,1020.12950228062,965.362328736482,1022.47410592144
"PF3D7_1029600",374.439121399404,248.261604537319,437.944861329233,159.468438538206
"PF3D7_1022600",232.984342204073,336.281627964187,423.817607737968,384.600351768614
"PF3D7_1006800",807.124328349826,1593.38811639407,901.789687575787,745.749462575728
"PF3D7_1017900",214.262386134103,128.644649623884,89.4726060780154,173.539183115107
"PF3D7_1008100",2358.96646481624,2367.51293781498,2232.10606741996,1933.94567129177
"PF3D7_1033600",451.407163020392,514.578598495535,477.972079837819,418.995505178816
"PF3D7_1003500",1323.01822894456,2162.13288315229,1342.08909117023,1122.53273402384
"PF3D7_1032900",99.8504323731743,230.206215116423,148.336162708289,359.585694743014
"PF3D7_1008400",272.508471685122,315.969314865679,299.026867681788,553.449286691421
"PF3D7_1034900",230.904124862966,288.886230734335,162.463416299554,312.683212820012
"PF3D7_1001900",376.519338740512,367.878559450755,350.826797516429,337.697869845613
"PF3D7_1032700",189.29977804081,212.150825695527,150.6907049735,118.819620871604
"PF3D7_1014500",76.9680416209886,40.6246261970159,103.599859669281,39.0854016025015
"PF3D7_1020700",380.679773422727,103.818489170152,499.162960224717,481.532147742818
"PF3D7_1012900",297.471079778415,257.289299247767,346.117712986007,167.285518858706
"PF3D7_1012500",62.406520233234,142.186191689556,178.945212156031,64.1000586281024
"PF3D7_1022100",29.1230427755092,38.3677025194039,68.281725691117,46.9024819230018
"PF3D7_1002000",49.9252161865872,85.7630997492558,63.5726411606952,126.636701192105
"PF3D7_1015300",176.818473994163,124.13080226866,258.999649173202,182.919679499707
"PF3D7_1011700",151.855865900869,324.997009576127,150.6907049735,454.954074653117
"PF3D7_1012600",268.348037002906,284.372383379111,508.581129285561,198.553840140707
"PF3D7_1025900",20.802173411078,22.5692367761199,89.4726060780154,101.622044166504
"PF3D7_1004400",195.540430064133,200.866207307467,122.436197790968,126.636701192105
"PF3D7_1028400",33.2834774577248,205.380054662691,141.272535912656,31.2683212820012
"PF3D7_1037300",191.379995381917,72.2215576835838,240.163311051515,164.158686730506
"PF3D7_1025300",62.406520233234,33.8538551641799,56.5090143650624,23.4512409615009
"PF3D7_1026800",2105.17994920109,2031.23130985079,1568.12514863048,1777.60406488177
"PF3D7_1033500",114.411953760929,119.616954913436,35.318133978164,42.2122337307016
"PF3D7_1017600",659.428897131172,507.807827462699,383.790389229382,245.456322063709
"PF3D7_1032100",555.418030075782,640.966324441806,317.863205803476,656.634746922025
"PF3D7_1008800",1027.62736650725,728.986347868674,861.762469067201,504.983388704319
"PF3D7_1039000",790.482589620964,1024.64334963585,334.345001659952,974.008207934336
"PF3D7_1036900",2433.85428909612,2660.91301590454,2441.66032902374,2865.74164549541
"PF3D7_1008500",270.428254344014,403.989338292547,294.317783151366,256.40023451241
"PF3D7_1016400",443.086293655961,236.976986149259,541.544720998514,400.234512409615
"PF3D7_1012400",1104.59540812824,424.301651391055,1097.21669558829,1230.40844244675
"PF3D7_1002200",183.059126017486,315.969314865679,390.854016025015,117.256204807504
"PF3D7_1016800",108.171301737606,60.9369392955238,61.2180988954842,136.017197576705
"PF3D7_1017400",87.3691283265276,225.692367761199,25.8999649173202,28.1414891538011
"PF3D7_1010600",549.177378052459,334.024704286575,360.244966577273,418.995505178816
"PF3D7_1029200",101.930649714282,97.0477181373158,120.081655525758,20.3244088333008
"PF3D7_1030100",478.449988454794,568.744766758222,346.117712986007,178.229431307407
"PF3D7_1021100",143.534996536438,273.087764991051,268.417818234046,120.383036935705
"PF3D7_1015600",401.481946833805,60.9369392955238,204.845177073351,264.21731483291
"PF3D7_1019400",316.193035848385,227.949291438811,339.054086190374,182.919679499707
"PF3D7_1022000",445.166510997069,259.546222925379,310.799579007843,343.951534102013
"PF3D7_1024000",27.0428254344014,250.518528214931,35.318133978164,67.2268907563025
"PF3D7_1019000",1938.76256191247,1636.2696662687,2180.30613758532,2490.52179011139
"PF3D7_1008900",208.02173411078,135.41542065672,75.3453524867498,90.6781317178034
"PF3D7_1027100",307.872166483954,403.989338292547,275.481445029679,318.936877076412
"PF3D7_1004000",1558.08278848974,1356.41113024481,1316.18912625291,1428.96228258745
"PF3D7_1037000",83.208693644312,60.9369392955238,42.3817607737968,107.875708422904
"PF3D7_1004300",911.135195405216,640.966324441806,998.325920449435,465.897987101817
"PF3D7_1021900",355.717165329434,164.755428465676,113.018028730125,175.102599179207
"PF3D7_1033200",484.690640478117,1313.52958037018,331.990459394741,214.188000781708
"PF3D7_1021400",176.818473994163,94.7907944597038,138.917993647445,167.285518858706
"PF3D7_1010700",74.8878242798808,126.387725946272,75.3453524867498,56.2829783076021
"PF3D7_1035800",1206.52605784252,1356.41113024481,807.60799696735,1092.82782880594
"PF3D7_1001000",41.604346822156,22.5692367761199,75.3453524867498,25.0146570256009
"PF3D7_1014600",1167.00192836148,1173.60031235824,1386.82539420924,1436.77936290795
"PF3D7_1013200",72.807606938773,24.8261604537319,94.1816906084373,92.2415477819034
"PF3D7_1037600",232.984342204073,216.664673050751,178.945212156031,175.102599179207
"PF3D7_1013300",56.1658682099106,38.3677025194039,58.8635566302733,37.5219855384014
"PF3D7_1001700",99.8504323731743,81.2492523940318,47.0908453042186,159.468438538206
"PF3D7_1002100",1077.55258269384,828.290989683602,647.499122933006,883.330076216533
"PF3D7_1033400",736.396938752161,986.275647116441,553.317432324569,756.693375024428
"PF3D7_1018300",490.931292501441,440.100117134339,494.453875694296,278.28805940981
"PF3D7_1028000",135.214127172007,67.7077103283598,141.272535912656,89.1147156537033
"PF3D7_1027800",2802.05275847221,3028.7915753553,3385.83177737332,3197.18585108462
"PF3D7_1005600",197.620647405241,200.866207307467,249.581480112359,206.370920461208
"PF3D7_1006200",438.925858973746,302.427772800007,586.281024037522,931.795974203635
"PF3D7_1038100",120.652605784252,106.075412847764,58.8635566302733,186.046511627907
"PF3D7_1028300",328.674339895032,106.075412847764,129.499824586601,164.158686730506
"PF3D7_1023900",2560.7475469037,2112.48056224483,2281.55145498939,2190.34590580418
"PF3D7_1031300",22.8823907521858,31.5969314865679,63.5726411606952,21.8878248974008
"PF3D7_1001500",1479.03452952764,2548.06683202394,1257.32556962264,1418.01837013875
"PF3D7_1018700",507.573031230303,191.83851259702,699.299052767647,489.349228063318
"PF3D7_1027400",22.8823907521858,24.8261604537319,129.499824586601,20.3244088333008
"PF3D7_1031700",24.9626080932936,155.727733755228,72.9908102215389,25.0146570256009
"PF3D7_1011800",2200.86994689205,1801.02509473437,1897.76106576001,2445.18272425249
"PF3D7_1014400",31.203260116617,54.1661682626879,54.1544720998514,15.6341606410006
"PF3D7_1033100",2856.13840934101,2586.43453454335,1485.7161693481,2356.06800859879
"PF3D7_1013900",470.129119090363,394.961643582099,605.11736215921,354.895446550713
"PF3D7_1003700",20.802173411078,33.8538551641799,65.9271834259061,156.341606410006
"PF3D7_1001800",74.8878242798808,85.7630997492558,51.7999298346405,25.0146570256009
"PF3D7_1018600",493.011509842548,537.147835271655,341.408628455585,398.671096345515
"PF3D7_1016700",216.342603475211,408.503185647771,190.717923482085,168.848934922806
"PF3D7_1005500",199.700864746349,67.7077103283598,343.763170720796,203.244088333008
"PF3D7_1019300",145.615213877546,40.6246261970159,35.318133978164,70.3537228845026
"PF3D7_1038800",322.433687871709,164.755428465676,211.908803868984,206.370920461208
"PF3D7_1029400",37.4439121399404,88.0200234268678,103.599859669281,161.031854602306
"PF3D7_1021500",91.5295630087432,340.795475319411,68.281725691117,101.622044166504
"PF3D7_1003400",58.2460855510184,117.360031235824,58.8635566302733,190.736759820207
"PF3D7_1026000",320.353470530601,117.360031235824,233.099684255882,259.52706664061
"PF3D7_1005100",332.834774577248,142.186191689556,169.527043095187,125.073285128005
"PF3D7_1011100",54.0856508688028,24.8261604537319,37.6726762433749,82.8610513973031
"PF3D7_1031600",205.941516769672,214.407749373139,113.018028730125,112.565956615204
"PF3D7_1021700",1023.46693182504,1401.54960379705,1271.4528232139,1615.00879421536
"PF3D7_1020000",232.984342204073,133.158496979108,96.5362328736482,131.326949384405
"PF3D7_1001400",838.327588466443,1306.75880933734,967.716871001693,898.964236857534
"PF3D7_1020900",224.663472839642,255.032375570155,339.054086190374,343.951534102013
"PF3D7_1015100",72.807606938773,58.6800156179118,75.3453524867498,17.1975767051006
"PF3D7_1007500",37.4439121399404,51.9092445850759,28.2545071825312,79.734219269103
"PF3D7_1020500",45.7647815043716,24.8261604537319,32.963591712953,96.9317959742036
"PF3D7_1007700",424.364337585991,543.918606304491,682.81725691117,314.246628884112
"PF3D7_1030500",60.3263028921262,205.380054662691,44.7363030390077,95.3683799101036
"PF3D7_1030300",322.433687871709,167.012352143288,322.572290333898,514.363885088919
"PF3D7_1013100",253.786515615151,106.075412847764,207.199719338562,368.966191127614
"PF3D7_1037700",29.1230427755092,36.1107788417919,56.5090143650624,71.9171389486027
"PF3D7_1022400",553.337812734674,862.144844847782,576.862854976678,328.317373461012
"PF3D7_1028500",191.379995381917,367.878559450755,280.190529560101,209.497752589408
"PF3D7_1009400",68.6471722565574,185.067741564184,218.972430664617,46.9024819230018
"PF3D7_1008000",913.215412746324,561.973995725387,781.708032050029,805.15927301153
"PF3D7_1016300",37.4439121399404,67.7077103283598,122.436197790968,39.0854016025015
"PF3D7_1012700",116.492171102037,121.873878591048,256.645106907992,282.978307602111
"PF3D7_1015900",4701.29119090363,4272.3565217195,4492.46664202246,4252.49169435216
"PF3D7_1026600",47.8449988454794,167.012352143288,136.563451382234,79.734219269103
"PF3D7_1025000",189.29977804081,189.581588919408,214.263346134195,337.697869845613
"PF3D7_1034000",74.8878242798808,83.5061760716438,54.1544720998514,201.680672268908
"PF3D7_1025100",124.813040466468,65.4507866507478,98.8907751388591,15.6341606410006
"PF3D7_1004200",174.738256653055,203.123130985079,115.372570995336,170.412350986906
"PF3D7_1009800",110.251519078713,103.818489170152,82.4089792823826,109.439124487004
"PF3D7_0912800",114.411953760929,99.3046418149277,195.427008012507,92.2415477819034
"PF3D7_0904100",185.139343358594,36.1107788417919,110.663486464914,284.541723666211
"PF3D7_0907400",239.224994227397,492.009361719415,251.93602237757,272.03439515341
"PF3D7_0916700",715.594765341083,600.34169824479,1165.49842127941,550.322454563221
"PF3D7_0900100",24.9626080932936,47.3953972298519,28.2545071825312,29.7049052179011
"PF3D7_0902300",205.941516769672,176.040046853736,103.599859669281,134.453781512605
"PF3D7_0923900",133.133909830899,148.956962722392,193.072465747296,229.822161422709
"PF3D7_0913000",183.059126017486,162.498504788064,122.436197790968,600.351768614422
"PF3D7_0905800",312.03260116617,126.387725946272,209.554261603773,232.948993550909
"PF3D7_0910500",216.342603475211,394.961643582099,534.481094202881,436.193081883916
"PF3D7_0927900",126.893257807576,288.886230734335,169.527043095187,303.302716435411
"PF3D7_0925800",133.133909830899,176.040046853736,134.208909117023,111.002540551104
"PF3D7_0935100",41.604346822156,33.8538551641799,30.6090494477421,134.453781512605
"PF3D7_0933000",126.893257807576,130.901573301496,143.627078177867,146.961110025406
"PF3D7_0903500",515.893900594734,640.966324441806,494.453875694296,802.03244088333
"PF3D7_0919000",1098.35475610492,993.046418149277,1412.72535912656,1514.95016611296
"PF3D7_0906500",210.101951451888,241.490833504483,150.6907049735,232.948993550909
"PF3D7_0908800",41.604346822156,139.929268011944,145.981620443078,112.565956615204
"PF3D7_0930600.1",68.6471722565574,250.518528214931,204.845177073351,87.5512995896033
"PF3D7_0918300",183.059126017486,358.850864740307,223.681515195039,79.734219269103
"PF3D7_0918800",118.572388443145,81.2492523940318,72.9908102215389,21.8878248974008
"PF3D7_0918200.1",39.5241294810482,205.380054662691,49.4453875694296,50.0293140512019
"PF3D7_0914900",60.3263028921262,29.3400078089559,70.636267956328,101.622044166504
"PF3D7_0913900",58.2460855510184,171.526199498512,134.208909117023,131.326949384405
"PF3D7_0906700",120.652605784252,198.609283629855,183.654296686453,45.3390658589017
"PF3D7_0928200",76.9680416209886,128.644649623884,84.7635215475935,37.5219855384014
"PF3D7_0907300",24.9626080932936,63.1938629731358,47.0908453042186,53.156146179402
"PF3D7_0909300",74.8878242798808,60.9369392955238,37.6726762433749,64.1000586281024
"PF3D7_0903100",68.6471722565574,36.1107788417919,108.308944199703,117.256204807504
"PF3D7_0905100",730.156286728837,505.550903785087,480.32662210303,456.517490717217
"PF3D7_0907200",222.583255498534,153.470810077616,223.681515195039,358.022278678913
"PF3D7_0909900",97.7702150320666,173.783123176124,289.608698620945,209.497752589408
"PF3D7_0925700",232.984342204073,216.664673050751,435.590319064022,303.302716435411
"PF3D7_0909700",370.278686717188,128.644649623884,480.32662210303,345.514950166113
"PF3D7_0935000",126.893257807576,130.901573301496,171.881585360398,103.185460230604
"PF3D7_0914300",137.294344513115,160.241581110452,80.0544370171717,71.9171389486027
"PF3D7_0922700",93.609780349851,103.818489170152,113.018028730125,226.695329294508
"PF3D7_0928900",20.802173411078,196.352359952243,44.7363030390077,76.6073871409029
"PF3D7_0909800",79.0482589620964,151.213886400004,120.081655525758,18.7609927692007
"PF3D7_0921600",243.385428909612,69.9646340059718,322.572290333898,253.273402384209
