"","PolyE.Infected.11","PolyE.Infected.12","PolyE.Infected.21","PolyE.Infected.22","PolyE.Infected.31"
"PF3D7_0410800",94.9296867676323,78.3834774920933,127.975684619922,127.461289761182,152.619378447908
"PF3D7_0405600",52.2113277221978,38.2803029612549,35.9931612993531,81.7059549751164,117.366451595152
"PF3D7_0422400",2477.6648246352,1250.48989673433,2877.45328387606,2228.12139217143,1919.56485850679
"PF3D7_0424900",20.1725584381219,54.6861470875069,27.994681010608,43.3041561368117,18.0563771684849
"PF3D7_0404800",15.4260740997402,7.29148627833426,41.992021515912,66.1818235298443,25.794824526407
"PF3D7_0423100",58.1444331451748,5.4686147087507,67.9870824543337,44.938275236314,19.3461183948053
"PF3D7_0402000",221.898142819341,96.6121931879289,47.9908817324708,114.388336965163,71.3656811897261
"PF3D7_0419800",125.781834967113,111.195165744597,199.962007218628,210.8013638358,165.516790711112
"PF3D7_0403400",191.04599461986,413.791846295469,507.903498335316,562.954029778552,1010.29729395094
"PF3D7_0410000",447.356148892467,453.895020826308,465.911476819404,356.237963691508,552.439158607217
"PF3D7_0411400",37.9718747070529,164.058441262521,15.9969605774903,14.707071895521,91.5716270687449
"PF3D7_0409300",169.686815097143,205.984487362943,103.980243753687,200.179589689035,230.863679511343
"PF3D7_0400400",53.3979488067932,47.3946608091727,29.9943010827943,43.3041561368117,24.9349970421935
"PF3D7_0404400",39.1584957916483,74.7377343529262,35.9931612993531,43.3041561368117,9.45810232634924
"PF3D7_0420200",32.0387692840759,29.165945113337,125.976064547736,44.938275236314,14.6170672316306
"PF3D7_0403700",544.65907782929,860.395380843443,435.91717573661,459.187466960154,505.578560717578
"PF3D7_0412300",13.0528319305494,12.760100987085,19.9962007218628,19.6094291940279,21.4956871053392
"PF3D7_0418100",345.306735617263,284.367964855036,275.947569961707,323.555581701461,447.970119275269
"PF3D7_0418200",300.215134402637,370.042928625464,319.939211549806,431.407442268615,324.584875290622
"PF3D7_0408100",88.9965813446553,98.4350647575125,219.958207940491,107.034801017403,73.9451636423668
"PF3D7_0417400",1092.87801891237,2637.69516118742,1589.6979573881,2159.48838999233,3039.49015669496
"PF3D7_0417300",179.179783773906,171.349927540855,463.911856747218,315.384986203949,324.584875290622
"PF3D7_0415900",2691.25661986238,2316.86976494071,2149.59157760026,2081.05067321622,1404.95810920497
"PF3D7_0419900",758.250873056463,1722.61363325647,1529.70935522251,1522.18194118642,1984.91174730702
"PF3D7_0403800",53.3979488067932,91.1435784791782,101.980623681501,90.6936100223793,92.4314545529585
"PF3D7_0404300",393.958200085674,481.238094370061,401.923634509443,241.032567176594,223.555145895528
"PF3D7_0410900",262.243259695584,277.076478576702,395.924774292884,385.65210748255,495.690544649122
"PF3D7_0410400",26.1056638610989,47.3946608091727,67.9870824543337,58.8282875820838,91.5716270687449
"PF3D7_0410700",78.3169915832966,61.9776333658412,29.9943010827943,72.7182999278536,101.459643137201
"PF3D7_0420100",230.204490411508,333.585497233792,187.964286785511,176.484862746252,218.826094732353
"PF3D7_0417800",88.9965813446553,52.8632755179234,29.9943010827943,58.0112280323327,100.169901910881
"PF3D7_0419500",43.9049801300299,43.7489176700056,55.989362021216,85.7912527238723,65.3468888002311
"PF3D7_0409100",131.71494039009,291.65945113337,145.972265269599,139.717183007449,167.666359421646
"PF3D7_0422300",104.422655444396,187.755771667107,167.968086063648,149.521897604463,135.852742505744
"PF3D7_0405300",91.3698235138461,198.693001084609,213.959347723932,116.839515614417,199.479976337548
"PF3D7_0416400",93.7430656830369,105.726551035847,91.9825233205691,40.8529774875582,103.179298105628
"PF3D7_0424700",2822.97156025247,3180.91088892332,3037.42288965097,2527.9822469301,2364.52558158731
"PF3D7_0416200",64.0775385681518,25.5202019741699,45.9912616602845,87.4253718233746,19.7760321369121
"PF3D7_0418000",29.6655271148851,25.5202019741699,69.98670252652,49.840632534821,35.682840594863
"PF3D7_0416100",202.912205465814,264.316377589617,283.946050250452,289.239080611912,198.190235111227
"PF3D7_0408300",80.6902337524875,38.2803029612549,99.9810036093142,93.9618482213839,128.974122632035
"PF3D7_0402100",649.081733273686,842.166665147607,595.886781511513,704.305331885504,590.271567912614
"PF3D7_0404500",49.838085553007,16.4058441262521,27.994681010608,44.938275236314,34.8230131106495
"PF3D7_0415400",97.3029289368231,224.213203058779,57.9889820934023,96.4130268706374,100.169901910881
"PF3D7_0406400",151.887498828212,118.486652022932,249.952509023286,147.07071895521,132.843346310996
"PF3D7_0422100",48.6514644684116,12.760100987085,153.970745558344,42.4870965870606,32.2435306580088
"PF3D7_0415500",167.313572927952,133.0696245796,125.976064547736,123.375992012426,93.7211957792788
"PF3D7_0405400",2495.46414090413,3350.43794489459,2397.54446655136,2120.26953160427,2522.3039249405
"PF3D7_0420000",887.592571277362,1173.92929081182,1439.72645197412,1262.35700436555,2033.92191390719
"PF3D7_0418300",1060.83924962829,1088.25432704139,895.829792339456,870.16842048499,1131.10305548295
"PF3D7_0405100",318.014450671568,273.430735437535,337.935792199482,373.396214236282,532.233212728198
"PF3D7_0416300",21.3591795227173,49.2175323787563,1.99962007218628,28.5970842412908,22.3555145895528
"PF3D7_0419600",465.155465161398,597.901874823409,373.928953498835,432.224501818366,261.817468943031
"PF3D7_0409600",98.4895500214185,60.1547617962576,57.9889820934023,93.9618482213839,77.3844735792211
"PF3D7_0310500",462.782222992207,430.197690421721,579.889820934023,571.941684825815,666.796214007622
"PF3D7_0315800",56.9578120605794,29.165945113337,139.97340505304,64.547704430342,30.5238756895816
"PF3D7_0319500",237.324216919081,317.17965310754,305.941871044502,236.947269427838,238.172213127158
"PF3D7_0323600",67.637401821938,116.663780453348,151.971125486158,142.168361656703,169.81592813218
"PF3D7_0312500",41.5317379608391,78.3834774920933,25.9950609384217,40.0359179378071,12.8974122632035
"PF3D7_0308200",503.127339868451,362.751442347129,285.945670322639,440.395097315878,378.32409305397
"PF3D7_0310900",86.6233391754645,63.8005049354248,75.9855627430788,194.460172840777,122.095502758327
"PF3D7_0302100",440.236422384895,565.090186570905,391.925534148512,343.165010895489,570.925449517809
"PF3D7_0321000",145.954393405235,158.58982655377,175.966566352393,144.619540305956,95.440850747706
"PF3D7_0316900",113.915624121159,178.641413819189,105.979863825873,241.849626726345,176.694548005888
"PF3D7_0307100",802.155853186493,674.462480745919,657.875003749288,656.098818450185,700.329485891951
"PF3D7_0308500",49.838085553007,72.9148627833426,31.9939211549806,60.4624066815862,17.1965496842713
"PF3D7_0310400",53.3979488067932,20.0515872654192,63.9878423099611,101.315384169144,63.627233831804
"PF3D7_0305100",35.5986325378621,52.8632755179234,27.994681010608,99.6812650696421,85.9827484213567
"PF3D7_0313000",72.3838861603196,27.3430735437535,119.977204331177,199.362530139284,198.190235111227
"PF3D7_0308900",513.80692962981,634.359306215081,473.909957108149,611.977602763622,594.570705333682
"PF3D7_0304200",256.310154272607,184.11002852794,347.933892560414,267.995532318382,237.742299385051
"PF3D7_0314400",75.9437494141059,85.6749637704276,245.953268878913,40.8529774875582,46.4306841475326
"PF3D7_0305800",26.1056638610989,9.11435784791782,27.994681010608,16.3411909950233,36.5426680790766
"PF3D7_0310100",15.4260740997402,1.82287156958357,43.9916415880983,22.8776673930326,32.2435306580088
"PF3D7_0306900",1202.04715869514,1017.16233582763,1211.76976374489,1100.57921351482,607.468117596885
"PF3D7_0302000",143.581151236044,222.390331489195,103.980243753687,276.166127815894,269.126002558847
"PF3D7_0322400",79.503612667892,43.7489176700056,53.9897419490297,105.4006819179,153.909119674229
"PF3D7_0304400.1",570.764741690389,450.249277687141,621.881842449935,558.868732029797,455.278652891084
"PF3D7_0312400",15.4260740997402,36.4574313916713,11.9977204331177,12.2558932462675,26.2247382685138
"PF3D7_0323400",11.866210845954,32.8116882525042,0,26.1459055920373,19.7760321369121
"PF3D7_0303300",106.795897613586,211.453102071694,21.9958207940491,122.558932462675,83.8331797108228
"PF3D7_0306200",56.9578120605794,30.9888166829206,225.95706815705,69.450061728849,38.2623230475037
"PF3D7_0301200",41.5317379608391,23.6973304045863,33.9935412271668,55.5600493830792,15.906808457951
"PF3D7_0309000",70.0106439911288,87.4978353400111,11.9977204331177,144.619540305956,50.2999078264937
"PF3D7_0302800",99.6761711060139,107.54942260543,37.9927813715394,67.8159426293467,117.366451595152
"PF3D7_0322100",159.007225335784,162.235569692937,153.970745558344,259.82493682087,205.068854984936
"PF3D7_0318900",116.28886629035,45.5717892395891,143.972645197413,83.3400740746188,138.862138700491
"PF3D7_0304600",47.4648433838162,74.7377343529262,15.9969605774903,35.9506201890512,10.7478435526696
"PF3D7_0301700",302.588376571828,257.024891311283,207.960487507374,326.823819900466,190.451787753305
"PF3D7_0322900",1248.32538099436,1077.31709762389,1367.74012937542,1112.01804721133,879.603516350479
"PF3D7_0316600",834.194622470569,607.016232671327,645.87728331617,602.989947716359,433.353052043638
"PF3D7_0317000",103.2360343598,61.9776333658412,71.9863225987063,148.704838054712,89.422058358211
"PF3D7_0319700",583.817573620939,1161.16918982473,937.821813855368,826.047204798427,1064.03651171429
"PF3D7_0307900",53.3979488067932,27.3430735437535,65.9874623821474,81.7059549751164,60.6178376370565
"PF3D7_0317700",376.158883816743,566.913058140489,725.862086203621,553.96637473129,742.461032618416
"PF3D7_0309600",1574.6461792581,1717.14501854772,1641.68807926494,1482.14602324861,823.284816134491
"PF3D7_0305000",18.9859373535265,7.29148627833426,125.976064547736,31.8653224402954,12.8974122632035
"PF3D7_0318600",154.260740997402,122.132395162099,45.9912616602845,173.216624547247,120.375847789899
"PF3D7_0317100",54.5845698913886,29.165945113337,27.994681010608,83.3400740746188,146.170672316306
"PF3D7_0305200",153.074119912807,317.17965310754,451.9141363141,243.483745825847,335.332718843291
"PF3D7_0311200",60.5176753143656,51.0404039483398,39.9924014437257,80.0718358756141,221.405577184994
"PF3D7_0321600",20.1725584381219,187.755771667107,69.98670252652,37.5847392885536,30.0939619474749
"PF3D7_0323800",281.229197049111,530.455626748817,461.912236675032,508.211039945224,628.103977218011
"PF3D7_0317300",1185.43446351081,1771.83116563523,1909.6371689379,1393.08653232574,2671.91390719366
"PF3D7_0317500",301.401755487233,871.332610260944,549.895519851228,385.65210748255,332.323322648544
"PF3D7_0313400",87.8099602600599,51.0404039483398,79.9848028874514,155.241314452721,387.782195380319
"PF3D7_0304900",34.4120114532667,29.165945113337,21.9958207940491,48.2065134353187,25.3649107843002
"PF3D7_0306800",708.412787503456,565.090186570905,461.912236675032,701.85415323625,377.464265569756
"PF3D7_0316700",131.71494039009,82.0292206312604,311.94073126106,144.619540305956,153.909119674229
"PF3D7_0305400",10.6795897613586,71.091991213759,31.9939211549806,27.7800246915396,16.3367222000578
"PF3D7_0319000",47.4648433838162,18.2287156958356,7.99848028874514,23.6947269427838,18.4862909105917
"PF3D7_0319200",132.901561474685,153.121211845019,463.911856747218,200.179589689035,220.115835958673
"PF3D7_0310700",68.8240229065334,87.4978353400111,93.9821433927554,102.949503268647,58.4682689265226
"PF3D7_0305300",194.605857873646,297.128065842121,447.914896169728,383.200928833296,419.595812296221
"PF3D7_0323100",103.2360343598,123.955266731682,143.972645197413,134.814825708942,256.228590295643
"PF3D7_0302900",293.095407895065,324.471139385875,349.9335126326,433.041561368117,473.335030059569
"PF3D7_0301600",505.500582037642,315.356781537957,373.928953498835,362.774440089517,373.165128148688
