"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_0624600",2338.09228222636,2540.49453232002,2391.21308896907,1219.43875707576
"PF3D7_0611400",86.9025450031037,259.234135951022,90.334716694387,169.366494038299
"PF3D7_0614300",749.017173598179,462.300875779323,900.690263511682,579.609779597736
"PF3D7_0622200",463.480240016553,393.17177285905,263.033439786598,214.530892448513
"PF3D7_0626800",3546.45147941237,2657.14989349798,3097.94940193104,3997.04925930387
"PF3D7_0619200",388.992344299607,164.181619435647,316.171508430355,135.49319523064
"PF3D7_0629700",2528.45023794744,1741.18927980436,1275.31364745017,2002.28832951945
"PF3D7_0604500",2938.13366439065,1663.41903901906,2425.75283358751,2939.44959653137
"PF3D7_0617900",641.423546451479,280.836980613607,111.58994415189,116.674695893051
"PF3D7_0627500",86.9025450031037,64.8085339877555,69.0794892368842,75.2739973503553
"PF3D7_0602400",128.284709290296,125.296499042994,34.5397446184421,188.184993375888
"PF3D7_0609700",806.952203600248,691.291029202725,549.979010462886,613.483078405396
"PF3D7_0604300",140.699358576454,95.0525165153747,284.2886672441,323.678188606528
"PF3D7_0603400",82.7643285743844,250.592998085988,146.129688770332,105.383596290497
"PF3D7_0606100",604.179598593006,695.611598135243,568.577334488201,421.53438516199
"PF3D7_0625600",397.268777157045,419.095186454152,523.409976141007,304.859689268939
"PF3D7_0615400",455.203807159114,855.472648638373,874.121229189804,955.979766349512
"PF3D7_0617400",240.016552865715,250.592998085988,175.355626524398,244.640491388655
"PF3D7_0615600",529.69170287606,470.942013644357,480.899521226002,575.846079730218
"PF3D7_0619400",600.041382164287,267.875273816056,746.589864444787,180.657593640853
"PF3D7_0610200",277.260500724188,120.975930110477,255.062729490034,207.003492713477
"PF3D7_0609100",86.9025450031037,250.592998085988,178.012529956586,282.277490063832
"PF3D7_0612900",550.382785019657,483.903720441908,496.840941819129,692.520775623269
"PF3D7_0617800",177.943306434927,250.592998085988,87.6778132621992,71.5102974828375
"PF3D7_0601900",947.651562176702,712.893873865311,1073.38898660389,557.027580392629
"PF3D7_0630600",57.9350300020691,64.8085339877555,223.17988830378,154.311694568228
"PF3D7_0609000",2458.10055865922,2246.69584490886,2003.30518786964,2875.46669878357
"PF3D7_0616900",86.9025450031037,90.7319475828577,124.874461312829,124.202095628086
"PF3D7_0608800",484.171322160149,475.262582576874,183.326336820962,557.027580392629
"PF3D7_0614200",99.3171942892613,73.4496718527896,100.962330423138,79.0376972178731
"PF3D7_0608700",629.008897165322,669.68818454014,682.824182072278,545.736480790076
"PF3D7_0619800",182.081522863646,138.258205840545,228.493695168155,244.640491388655
"PF3D7_0627800",529.69170287606,764.740701055515,231.150598600343,380.133686619294
"PF3D7_0621200",364.163045727292,332.683807803812,300.230087837227,474.226183307238
"PF3D7_0623800",3711.98013656114,3149.69475180492,2566.56871549347,2773.84680236059
"PF3D7_0629200",173.805090006207,108.014223312926,180.669433388774,579.609779597736
"PF3D7_0629500",240.016552865715,216.028446625852,124.874461312829,127.965795495604
"PF3D7_0610100",124.146492861577,276.51641168109,53.1380686437571,312.387089003974
"PF3D7_0628600",219.325470722119,90.7319475828577,276.317956947537,131.729495363122
"PF3D7_0623600",215.1872542934,432.056893251703,164.728012795647,417.770685294472
"PF3D7_0611800",529.69170287606,743.13785639293,305.543894701603,662.411176683127
"PF3D7_0628200",1162.8388164701,1654.77790115402,712.050119826345,1215.67505720824
"PF3D7_0625400",355.886612869853,432.056893251703,454.330486904123,515.626881849934
"PF3D7_0617100",326.919097868819,388.851203926533,249.748922625658,297.332289533903
"PF3D7_0606600",1291.1235257604,1659.09847008654,805.04173995292,1050.07226303746
"PF3D7_0605100",417.959859300641,237.631291288437,164.728012795647,56.4554980127665
"PF3D7_0627300",289.675150010346,280.836980613607,146.129688770332,301.095989401421
"PF3D7_0603000",132.422925719015,99.3730854478918,42.5104549150057,154.311694568228
"PF3D7_0630900",103.455410717981,289.478118478641,170.041819660023,56.4554980127665
"PF3D7_0617200",1680.11587006,1067.18052633171,2069.72777367434,1072.65446224256
"PF3D7_0623100",740.740740740741,686.970460270208,526.066879573195,684.993375888233
"PF3D7_0629900",194.496172149803,112.334792245443,114.246847584078,56.4554980127665
"PF3D7_0606000",612.456031450445,1002.37199234395,778.472705631041,613.483078405396
"PF3D7_0605800",240.016552865715,151.219912638096,37.19664805063,60.2191978802842
"PF3D7_0617000",78.6261121456652,362.927790331431,114.246847584078,41.4006985426954
"PF3D7_0627900",95.1789778605421,103.693654380409,53.1380686437571,67.7465976153198
"PF3D7_0618200",82.7643285743844,250.592998085988,403.849321692554,199.476092978442
"PF3D7_0614400",86.9025450031037,337.004376736329,414.476935421305,90.3287968204263
"PF3D7_0622900",1253.87957790192,648.085339877555,1657.90774168522,986.089365289654
"PF3D7_0610900",935.236912890544,600.559081619868,433.07525944662,414.006985426954
"PF3D7_0616400",49.6585971446307,69.1291029202725,132.845171609393,203.239792845959
"PF3D7_0608500",144.837575005173,159.86105050313,188.640143685338,158.075394435746
"PF3D7_0627100",935.236912890544,829.549235043271,839.581484571362,899.524268336746
"PF3D7_0606500",264.84585143803,302.439825276192,191.297047117525,203.239792845959
"PF3D7_0606700",517.277053589903,1023.97483700654,464.958100632874,700.048175358304
"PF3D7_0614500",1709.08338506104,1823.28008952219,2168.03320066529,1569.46284475491
"PF3D7_0626700",438.650941444238,276.51641168109,435.732162878808,466.698783572203
"PF3D7_0608100",186.219739292365,138.258205840545,103.619233855326,124.202095628086
"PF3D7_0611700",153.114007862611,177.143326233198,69.0794892368842,270.986390461279
"PF3D7_0621300",190.357955721084,146.899343705579,278.974860379725,173.130193905817
"PF3D7_0624000",463.480240016553,915.960613693611,1020.25091796014,541.972780922558
"PF3D7_0615900",66.2114628595075,99.3730854478918,111.58994415189,1080.1818619776
"PF3D7_0618300",1125.59486861163,1339.37636908028,1424.10023965269,1565.69914488739
"PF3D7_0621800",906.26939788951,1054.21881953416,1551.63160439771,511.863181982416
"PF3D7_0620500",153.114007862611,73.4496718527896,199.267757414089,60.2191978802842
"PF3D7_0610800",351.748396441134,289.478118478641,842.23838800355,1196.85655787065
"PF3D7_0626000",190.357955721084,354.286652466397,204.581564278465,737.685174033482
"PF3D7_0622100",91.0407614318229,120.975930110477,74.3932961012599,169.366494038299
"PF3D7_0629800",302.089799296503,181.463895165715,247.09201919347,466.698783572203
"PF3D7_0602100",488.309538588868,388.851203926533,648.284437453836,1136.63735999036
"PF3D7_0607000",1551.83116076971,1529.48140211103,1333.7655229583,1140.40105985788
"PF3D7_0621900",322.780881440099,315.401532073743,449.016680039747,466.698783572203
"PF3D7_0621400",165.528657148769,77.7702407853066,87.6778132621992,229.585691918584
"PF3D7_0516900",3819.57376370784,3897.15317713036,3536.33846824203,2845.35709984343
"PF3D7_0505700",132.422925719015,332.683807803812,294.916280972852,161.839094303264
"PF3D7_0501400",1878.75025863853,3011.43654596437,2606.42226697628,2277.03841984825
"PF3D7_0523000",1911.85599006828,1196.79759430722,2045.81564278465,1464.07924846441
"PF3D7_0519400",1324.22925719015,1373.94092054042,1599.45586617709,1528.06214621221
"PF3D7_0505000",558.659217877095,380.210066061499,470.27190749725,297.332289533903
"PF3D7_0506800",206.910821435961,293.798687411158,263.033439786598,455.40768396965
"PF3D7_0527900",153.114007862611,237.631291288437,231.150598600343,237.113091653619
"PF3D7_0503800",587.62673287813,639.444202012521,656.2551477504,530.681681320005
"PF3D7_0532300",2189.11649079247,2255.33698277389,2837.57286557663,3345.92918222329
"PF3D7_0528100",306.228015725222,319.722101006261,366.652673641924,274.750090328797
"PF3D7_0505100",413.821642871922,349.96608353388,430.418356014432,496.808382512345
"PF3D7_0532400",455.203807159114,1045.57768166912,542.008300166322,252.16789112369
"PF3D7_0519700",492.447755017587,557.353392294697,573.891141352576,526.917981452487
"PF3D7_0516100",99.3171942892613,90.7319475828577,132.845171609393,41.4006985426954
"PF3D7_0523900",74.487895716946,64.8085339877555,100.962330423138,237.113091653619
"PF3D7_0520100",165.528657148769,250.592998085988,138.158978473768,255.931590991208
"PF3D7_0507600",211.04903786468,159.86105050313,459.644293768499,237.113091653619
"PF3D7_0508700",244.154769294434,488.224289374425,193.953950549713,692.520775623269
"PF3D7_0511800",401.406993585765,630.803064147487,363.995770209736,466.698783572203
"PF3D7_0521300",314.504448582661,354.286652466397,215.209178007216,195.712393110924
"PF3D7_0516700",405.545210014484,155.540481570613,342.740542752233,368.842587016741
"PF3D7_0512600",86.9025450031037,298.119256343675,180.669433388774,244.640491388655
"PF3D7_0520900",678.667494309952,324.042669938778,738.619154148223,444.116584367096
"PF3D7_0528200",223.463687150838,289.478118478641,528.723783005383,109.147296158015
"PF3D7_0507900",91.0407614318229,43.2056893251703,53.1380686437571,263.458990726243
"PF3D7_0506100",66.2114628595075,43.2056893251703,138.158978473768,37.6369986751776
"PF3D7_0509000",219.325470722119,73.4496718527896,170.041819660023,165.602794170782
"PF3D7_0529000",331.057314297538,276.51641168109,265.690343218785,331.205588341563
"PF3D7_0509400",1626.31905648665,1157.91247391456,1434.72785338144,1814.10333614356
"PF3D7_0524900",260.707635009311,112.334792245443,100.962330423138,112.910996025533
"PF3D7_0523800",264.84585143803,155.540481570613,138.158978473768,86.5650969529086
"PF3D7_0527200",161.39044072005,168.502188368164,496.840941819129,191.948693243406
